lago,fecha,ndvi,ndwi,cianobacteria,pct_agua
amatitlan,2025-01-28,-0.3469158709049225,0.5573126673698425,14.682077407836914,12.66469946757329
amatitlan,2025-04-15,-0.0891638845205307,0.2741107940673828,7.788650035858154,12.2626531528642
amatitlan,2025-04-28,-0.06109369546175003,0.2753320038318634,11.258581161499023,11.9257970363718
amatitlan,2025-11-24,-0.36796241998672485,0.5058556795120239,10.4391508102417,12.377156969658092
amatitlan,2026-01-08,-0.12459646910429001,0.3809416890144348,17.941265106201172,11.470748604785426
amatitlan,2026-02-02,-0.0634850561618805,0.17384199798107147,5.912588119506836,11.207582269549041
amatitlan,2026-02-07,-0.2520909905433655,0.4274095594882965,8.23482894897461,12.2978542562063
amatitlan,2026-03-29,-0.07080235332250595,0.297472208738327,12.99317455291748,12.556209506703444
amatitlan,2026-04-13,-0.026534918695688248,0.26767122745513916,15.774334907531738,12.722111745461543
amatitlan,2026-04-28,-0.04449161887168884,0.306142657995224,15.655457496643066,10.963179164795688
amatitlan,2026-06-19,-0.16411060094833374,0.48804956674575806,53.37408447265625,13.018234011161717
atitlan,2025-01-18,0.43001946806907654,0.8338927626609802,-14.90851879119873,25.209474873675457
atitlan,2025-04-13,-0.04615354165434837,0.36448702216148376,2.8500547409057617,25.402788527200013
atitlan,2025-05-13,-0.06445524096488953,0.3349436819553375,3.052048921585083,28.951198393544704
atitlan,2025-07-17,-0.050413403660058975,0.41907230019569397,2.2450177669525146,25.370869729284298
atitlan,2025-11-21,-0.06764496117830276,0.7378832101821899,-48.92184066772461,26.19158854806522
atitlan,2025-12-29,0.01611241139471531,0.5181389451026917,-22.543811798095703,28.94623048725432
atitlan,2026-02-12,0.036026038229465485,0.6778249740600586,-31.26243782043457,25.135453069948742
atitlan,2026-03-24,-0.13349288702011108,0.4552510678768158,3.304091691970825,26.056088903995004
atitlan,2026-04-13,-0.030761944130063057,0.2495395988225937,2.905045509338379,25.347375672452692
atitlan,2026-04-28,-0.07217127829790115,0.2863670587539673,3.1456127166748047,27.862688726102558
atitlan,2026-07-22,-0.08453115075826645,0.457655668258667,3.3101844787597656,25.321853053885846
